station_id	capacity	curUsable	targetUsable	curBroken
230	31	19	27	9
332	23	10	9	2
53	39	6	1	11
308	43	2	15	6
452	18	12	6	2
366	39	5	10	18
204	35	7	15	1
267	51	1	1	24
311	25	10	14	7
469	18	8	15	0
200	27	14	21	5
401	41	22	41	14
313	24	17	14	7
83	37	36	37	1
500	22	0	7	22
256	30	0	8	26
231	41	5	8	23
156	31	21	20	1
140	57	0	26	16
418	31	8	13	20
102	31	20	12	7
145	34	0	7	11
343	27	8	12	0
327	18	13	16	4
101	27	12	15	3
100	39	10	6	12
298	27	13	22	0
444	30	3	1	18
26	45	3	20	23
195	27	7	2	16
349	24	16	21	8
493	39	34	21	0
128	28	26	28	2
238	31	11	25	7
481	39	15	6	10
23	47	6	1	9
314	19	9	3	7
391	27	18	2	4
514	14	0	0	13
24	51	1	1	34
134	23	15	19	5
121	23	16	6	4
503	31	6	0	1
236	59	9	7	36
196	31	20	30	6
71	31	5	12	13
118	27	25	27	2
494	29	3	15	6
42	31	12	7	8
214	39	27	32	1
